ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,NM,DOC,12,10,12,15,1
2,GWS,PER,14,16,11,15,1
3,FRE,PER,9,13,16,12,1
4,MEL,PER,9,9,19,12,1
5,GEE,ADE,13,11,21,10,1
6,PA,ADE,10,9,16,13,1
7,CAR,PER,6,8,23,14,1
8,RIC,MCG,8,10,15,14,1
9,GC,PER,6,7,16,17,1
10,HAW,YOR,4,2,22,10,1
11,ESS,PER,6,10,14,12,1
12,COL,PER,8,9,18,12,1
13,ADE,ADE,8,4,27,12,1
15,SYD,SCG,5,4,31,19,1
16,STK,PER,12,5,12,13,1
17,BL,GAB,5,5,16,20,1
18,RIC,PER,8,12,14,14,1
19,CAR,DOC,10,9,21,14,1
20,NM,PER,,,,,
21,ESS,DOC,,,,,
22,FRE,PER,,,,,
23,WB,DOC,,,,,
24,ADE,PER,,,,,
