,Attack,Defense,Overall,Standardised,Quantile
MEL,26.625,-4.0,30.625,1.803507935421886,0.9643457598391307
STK,6.0625,-20.375,26.4375,1.5569058299662402,0.9402535774523575
COL,16.1875,-0.8125,17.0,1.0011309355811284,0.841618244628398
CAR,0.25,-9.0,9.25,0.5447330090662023,0.7070314206181131
ESS,11.375,3.5625,7.8125,0.46007855495456274,0.6772700818507607
RIC,-8.75,-15.4375,6.6875,0.39382724304110567,0.6531457052565066
SYD,-0.25,-6.75,6.5,0.3827853577221962,0.6490605405018703
ADE,14.5,13.5625,0.9375,0.05520942659454753,0.5220141904724384
BL,-2.0625,-2.1875,0.125,0.007361256879273003,0.5029366900837365
FRE,-7.875,-6.4375,-1.4375,-0.08465445411163953,0.46626805313945346
PA,0.5,2.625,-2.125,-0.12514136694764105,0.45020581729892234
GWS,-4.375,-1.3125,-3.0625,-0.18035079354218858,0.4284385909397531
WB,-8.0,-4.875,-3.125,-0.1840314219818251,0.4269944023555239
GEE,1.8125,6.0,-4.1875,-0.24660210545564562,0.40260808747349364
GC,-4.625,2.5,-7.125,-0.4195916421185612,0.3373918975270535
WC,-4.25,13.5,-17.75,-1.0452984768567666,0.14794252070822322
NM,-13.625,12.0,-25.625,-1.5090576602509658,0.06564202413443092
HAW,-23.5,17.4375,-40.9375,-2.4108116279619085,0.007958533497140676
