round_number,year,month,day,team1,team2,venue,knockout
1,2023,3,16,RIC,CAR,MCG,FALSE
1,2023,3,17,GEE,COL,MCG,FALSE
1,2023,3,18,NM,WC,DOC,FALSE
1,2023,3,18,PA,BL,ADE,FALSE
1,2023,3,18,MEL,WB,MCG,FALSE
1,2023,3,18,GC,SYD,CRR,FALSE
1,2023,3,19,GWS,ADE,SSS,FALSE
1,2023,3,19,HAW,ESS,MCG,FALSE
1,2023,3,19,STK,FRE,DOC,FALSE
2,2023,3,23,CAR,GEE,MCG,FALSE
2,2023,3,24,BL,MEL,GAB,FALSE
2,2023,3,25,COL,PA,MCG,FALSE
2,2023,3,25,ADE,RIC,ADE,FALSE
2,2023,3,25,FRE,NM,PER,FALSE
2,2023,3,25,WB,STK,DOC,FALSE
2,2023,3,26,SYD,HAW,SCG,FALSE
2,2023,3,26,ESS,GC,DOC,FALSE
2,2023,3,26,WC,GWS,PER,FALSE
3,2023,3,30,WB,BL,DOC,FALSE
3,2023,3,31,COL,RIC,MCG,FALSE
3,2023,4,1,HAW,NM,YOR,FALSE
3,2023,4,1,GWS,CAR,SSS,FALSE
3,2023,4,1,STK,ESS,MCG,FALSE
3,2023,4,1,PA,ADE,ADE,FALSE
3,2023,4,2,GC,GEE,CRR,FALSE
3,2023,4,2,MEL,SYD,MCG,FALSE
3,2023,4,2,FRE,WC,PER,FALSE
4,2023,4,6,BL,COL,GAB,FALSE
4,2023,4,7,NM,CAR,DOC,FALSE
4,2023,4,8,ADE,FRE,ADE,FALSE
4,2023,4,8,RIC,WB,MCG,FALSE
4,2023,4,8,STK,GC,DOC,FALSE
4,2023,4,8,SYD,PA,SCG,FALSE
4,2023,4,9,ESS,GWS,DOC,FALSE
4,2023,4,9,WC,MEL,PER,FALSE
4,2023,4,10,GEE,HAW,MCG,FALSE
5,2023,4,13,ADE,CAR,ADE,FALSE
5,2023,4,14,FRE,GC,NOR,FALSE
5,2023,4,14,RIC,SYD,ADE,FALSE
5,2023,4,15,BL,NM,SUM,FALSE
5,2023,4,15,ESS,MEL,ADE,FALSE
5,2023,4,15,PA,WB,ADE,FALSE
5,2023,4,16,GEE,WC,ADE,FALSE
5,2023,4,16,GWS,HAW,NOR,FALSE
5,2023,4,16,COL,STK,ADE,FALSE
6,2023,4,21,FRE,WB,PER,FALSE
6,2023,4,22,PA,WC,ADE,FALSE
6,2023,4,22,GWS,BL,MAN,FALSE
6,2023,4,22,GEE,SYD,KAR,FALSE
6,2023,4,23,HAW,ADE,YOR,FALSE
6,2023,4,23,CAR,STK,DOC,FALSE
6,2023,4,23,GC,NM,CRR,FALSE
6,2023,4,24,MEL,RIC,MCG,FALSE
6,2023,4,25,COL,ESS,MCG,FALSE
7,2023,4,28,STK,PA,DOC,FALSE
7,2023,4,29,BL,FRE,GAB,FALSE
7,2023,4,29,SYD,GWS,SCG,FALSE
7,2023,4,29,WB,HAW,DOC,FALSE
7,2023,4,29,MEL,NM,MCG,FALSE
7,2023,4,29,WC,CAR,PER,FALSE
7,2023,4,30,ESS,GEE,MCG,FALSE
7,2023,4,30,RIC,GC,DOC,FALSE
7,2023,4,30,ADE,COL,ADE,FALSE
8,2023,5,5,CAR,BL,DOC,FALSE
8,2023,5,6,RIC,WC,MCG,FALSE
8,2023,5,6,GEE,ADE,KAR,FALSE
8,2023,5,6,GC,MEL,CRR,FALSE
8,2023,5,6,GWS,WB,MAN,FALSE
8,2023,5,6,FRE,HAW,PER,FALSE
8,2023,5,7,PA,ESS,ADE,FALSE
8,2023,5,7,COL,SYD,MCG,FALSE
8,2023,5,7,NM,STK,MAR,FALSE
9,2023,5,12,RIC,GEE,MCG,FALSE
9,2023,5,12,WC,GC,PER,FALSE
9,2023,5,13,SYD,FRE,SCG,FALSE
9,2023,5,13,NM,PA,BEL,FALSE
9,2023,5,13,HAW,MEL,MCG,FALSE
9,2023,5,13,BL,ESS,GAB,FALSE
9,2023,5,13,CAR,WB,DOC,FALSE
9,2023,5,14,ADE,STK,ADE,FALSE
9,2023,5,14,COL,GWS,MCG,FALSE
10,2023,5,19,PA,MEL,ADE,FALSE
10,2023,5,20,NM,SYD,DOC,FALSE
10,2023,5,20,WB,ADE,EUR,FALSE
10,2023,5,20,FRE,GEE,PER,FALSE
10,2023,5,20,BL,GC,GAB,FALSE
10,2023,5,20,ESS,RIC,MCG,FALSE
10,2023,5,21,HAW,WC,YOR,FALSE
10,2023,5,21,CAR,COL,MCG,FALSE
10,2023,5,21,GWS,STK,SSS,FALSE
11,2023,5,26,SYD,CAR,SCG,FALSE
11,2023,5,27,STK,HAW,DOC,FALSE
11,2023,5,27,MEL,FRE,MCG,FALSE
11,2023,5,27,GEE,GWS,KAR,FALSE
11,2023,5,27,GC,WB,MAR,FALSE
11,2023,5,27,WC,ESS,PER,FALSE
11,2023,5,28,RIC,PA,MCG,FALSE
