ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
1,UTAH,SD,4,2,3,0,3,1,0,0,1
2,NE,SD,4,3,1,0,2,1,0,0,1
3,HOU,HOU,4,3,0,0,4,4,1,0,1
4,DAL,SD,3,2,1,0,0,0,0,0,1
5,ATL,ATL,5,2,2,0,2,0,0,0,1
7,OGDC,SD,7,5,1,0,4,3,0,0,1
8,SEA,SEA,3,1,2,0,2,2,2,0,1
9,CHI,SD,8,4,0,0,4,2,0,0,1
10,DAL,DAL,7,6,0,0,6,4,0,0,1
11,HOU,SD,4,3,1,0,1,1,3,0,1
12,UTAH,UTAH,2,2,4,0,2,0,2,0,1
13,NOLA,NOLA,4,3,0,0,2,1,0,0,1
15,NY,SD,6,3,0,0,2,0,1,0,1
16,CHI,CHI,6,3,0,0,2,2,0,0,1
17,TOR,TOR,8,5,0,0,2,2,1,0,1
18,SEA,SD,6,5,0,0,3,2,0,0,1
20,SEA,SD,4,3,1,1,1,1,1,0,1
