ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
1,ATL,ATL,1,1,1,0,3,1,0,0,1
2,NY,NY,0,0,1,0,6,3,1,0,1
4,CHI,CHI,2,1,4,1,2,2,4,0,1
5,OGDC,OGDC,0,0,1,0,4,3,1,0,1
6,UTAH,UTAH,3,2,0,0,7,3,2,0,1
7,DAL,DAL,1,0,2,0,2,2,0,0,1
8,NY,TOR,4,2,1,0,4,3,1,0,1
9,NE,TOR,1,0,0,0,12,10,0,0,1
10,SEA,TOR,3,3,2,0,5,4,1,0,1
11,NOLA,NOLA,3,3,1,0,6,5,0,0,1
13,ATL,TOR,4,4,2,0,4,4,2,0,1
14,OGDC,TOR,4,3,1,0,5,2,0,0,1
15,NE,NE,2,2,2,0,9,6,0,0,1
16,HOU,TOR,4,3,0,0,7,5,1,0,1
17,SD,TOR,2,2,1,0,8,5,0,0,1
18,NOLA,TOR,3,3,1,0,4,3,0,0,1
