ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
1,SD,SD,3,1,0,0,4,2,3,0,1
2,DAL,UTAH,5,4,0,0,5,0,0,0,1
3,CHI,CHI,2,2,0,0,1,1,1,0,1
5,NOLA,NOLA,2,2,0,0,6,2,1,0,1
6,TOR,UTAH,7,3,2,0,3,2,0,0,1
7,NE,UTAH,3,1,3,0,3,3,1,0,1
8,HOU,HOU,3,3,3,0,3,3,1,0,1
9,SEA,UTAH,6,4,1,0,5,5,0,0,1
10,OGDC,OGDC,4,1,0,0,5,4,1,0,1
12,SD,UTAH,2,0,2,0,2,2,4,0,1
13,DAL,DAL,5,4,1,0,4,3,0,0,1
14,HOU,UTAH,4,1,4,0,4,1,2,0,1
15,ATL,UTAH,4,4,0,0,2,1,0,0,1
16,SEA,SEA,3,1,1,0,3,3,2,0,1
17,CHI,UTAH,,,,,,,,,
18,NY,NY,,,,,,,,,
