round_number,year,month,day,team1,team2,venue,knockout
1,2023,2,17,ATL,TOR,ATL,TRUE
1,2023,2,17,NOLA,NE,NOLA,TRUE
1,2023,2,18,OGDC,CHI,OGDC,TRUE
1,2023,2,18,SD,UTAH,SD,TRUE
1,2023,2,18,SEA,NY,SEA,TRUE
1,2023,2,19,DAL,HOU,DAL,TRUE
2,2023,2,24,SEA,ATL,SEA,TRUE
2,2023,2,25,UTAH,DAL,UTAH,TRUE
2,2023,2,25,HOU,NOLA,HOU,TRUE
2,2023,2,26,NY,TOR,NY,TRUE
2,2023,2,26,SD,NE,SD,TRUE
3,2023,3,3,DAL,SEA,DAL,TRUE
3,2023,3,4,ATL,NOLA,ATL,TRUE
3,2023,3,5,CHI,UTAH,CHI,TRUE
3,2023,3,5,NY,OGDC,NY,TRUE
3,2023,3,5,HOU,SD,HOU,TRUE
4,2023,3,11,NE,OGDC,NE,TRUE
4,2023,3,11,CHI,TOR,CHI,TRUE
4,2023,3,11,SD,DAL,SD,TRUE
4,2023,3,11,SEA,HOU,SEA,TRUE
4,2023,3,12,NOLA,NY,NOLA,TRUE
5,2023,3,18,NOLA,UTAH,NOLA,TRUE
5,2023,3,18,ATL,SD,ATL,TRUE
5,2023,3,18,OGDC,TOR,OGDC,TRUE
5,2023,3,18,CHI,DAL,CHI,TRUE
5,2023,3,19,NY,NE,NY,TRUE
6,2023,3,25,OGDC,NOLA,OGDC,TRUE
6,2023,3,25,NE,DAL,NE,TRUE
6,2023,3,25,UTAH,TOR,UTAH,TRUE
6,2023,3,25,HOU,ATL,HOU,TRUE
6,2023,3,26,CHI,SEA,CHI,TRUE
7,2023,3,31,UTAH,NE,UTAH,TRUE
7,2023,4,1,DAL,TOR,DAL,TRUE
7,2023,4,2,CHI,HOU,CHI,TRUE
7,2023,4,2,NOLA,SEA,NOLA,TRUE
7,2023,4,2,NY,ATL,NY,TRUE
7,2023,4,2,SD,OGDC,SD,TRUE
8,2023,4,8,NE,CHI,NE,TRUE
8,2023,4,8,TOR,NY,TOR,TRUE
8,2023,4,8,ATL,OGDC,ATL,TRUE
8,2023,4,8,HOU,UTAH,HOU,TRUE
8,2023,4,8,SEA,SD,SEA,TRUE
9,2023,4,15,HOU,DAL,HOU,TRUE
9,2023,4,15,NOLA,ATL,NOLA,TRUE
9,2023,4,15,UTAH,SEA,UTAH,TRUE
9,2023,4,16,OGDC,NY,OGDC,TRUE
9,2023,4,16,SEA,CHI,SEA,TRUE
9,2023,4,16,TOR,NE,TOR,TRUE
10,2023,4,22,NE,ATL,NE,TRUE
10,2023,4,22,OGDC,UTAH,OGDC,TRUE
10,2023,4,22,DAL,SD,DAL,TRUE
10,2023,4,23,CHI,NOLA,CHI,TRUE
10,2023,4,23,NY,HOU,NY,TRUE
10,2023,4,23,TOR,SEA,TOR,TRUE
11,2023,4,28,SEA,DAL,SEA,TRUE
11,2023,4,30,NOLA,TOR,NOLA,TRUE
11,2023,4,30,NE,NY,NE,TRUE
11,2023,4,30,SD,HOU,SD,TRUE
12,2023,5,6,ATL,CHI,ATL,TRUE
12,2023,5,6,DAL,OGDC,DAL,TRUE
12,2023,5,6,UTAH,SD,UTAH,TRUE
12,2023,5,7,NY,NOLA,NY,TRUE
13,2023,5,12,TOR,ATL,TOR,TRUE
13,2023,5,13,NOLA,SD,NOLA,TRUE
13,2023,5,13,HOU,SEA,HOU,TRUE
13,2023,5,14,DAL,UTAH,DAL,TRUE
13,2023,5,14,OGDC,NE,OGDC,TRUE
13,2023,5,14,CHI,NY,CHI,TRUE
14,2023,5,18,TOR,OGDC,TOR,TRUE
14,2023,5,20,ATL,DAL,ATL,TRUE
14,2023,5,20,UTAH,HOU,UTAH,TRUE
14,2023,5,20,SEA,CHI,SEA,TRUE
14,2023,5,21,NE,NOLA,NE,TRUE
15,2023,5,27,NE,TOR,NE,TRUE
15,2023,5,27,OGDC,SEA,OGDC,TRUE
15,2023,5,27,HOU,CHI,HOU,TRUE
15,2023,5,27,UTAH,ATL,UTAH,TRUE
15,2023,5,28,SD,NY,SD,TRUE
16,2023,6,2,ATL,NE,ATL,TRUE
16,2023,6,3,NOLA,OGDC,NOLA,TRUE
16,2023,6,3,TOR,HOU,TOR,TRUE
16,2023,6,3,CHI,SD,CHI,TRUE
16,2023,6,4,NY,DAL,NY,TRUE
16,2023,6,4,SEA,UTAH,SEA,TRUE
17,2023,6,9,HOU,OGDC,HOU,TRUE
17,2023,6,10,ATL,NY,ATL,TRUE
17,2023,6,10,DAL,NOLA,DAL,TRUE
17,2023,6,10,UTAH,CHI,UTAH,TRUE
17,2023,6,11,TOR,SD,TOR,TRUE
17,2023,6,11,SEA,NE,SEA,TRUE
18,2023,6,17,OGDC,ATL,OGDC,TRUE
18,2023,6,17,TOR,NOLA,TOR,TRUE
18,2023,6,17,DAL,CHI,DAL,TRUE
18,2023,6,18,NE,HOU,NE,TRUE
18,2023,6,18,NY,UTAH,NY,TRUE
18,2023,6,18,SD,SEA,SD,TRUE
