ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
1,NE,CAR,2,0,1,0,8,3,0,0,1
2,NOLA,NOLA,3,2,0,0,6,2,0,0,1
3,DAL,CAR,4,4,0,0,10,9,0,0,1
4,MIA,MIA,3,3,0,0,7,6,1,0,1
5,OGDC,CAR,4,3,2,0,6,5,2,0,1
6,UTAH,UTAH,3,2,0,0,8,2,0,0,1
7,CHI,CHI,4,3,0,0,9,7,0,0,1
9,NOLA,CAR,1,0,0,0,6,5,0,0,1
10,SEA,SEA,2,0,1,0,4,3,1,0,1
11,HOU,CAR,2,1,1,0,6,4,0,0,1
12,LA,CAR,4,3,1,0,4,2,3,0,1
14,OGDC,OGDC,5,2,0,0,7,6,0,0,1
15,SD,SD,3,3,1,0,5,3,1,0,1
16,MIA,CAR,2,2,0,0,4,1,2,0,1
17,CHI,CAR,4,3,1,0,6,4,0,0,1
18,NE,NE,,,,,,,,,
