ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
1,UTAH,HOU,3,2,1,0,2,1,1,0,1
2,LA,LA,3,3,2,0,2,1,0,0,1
3,MIA,HOU,4,2,2,0,2,1,1,0,1
4,SEA,SEA,5,4,3,0,6,2,2,0,1
5,DAL,DAL,4,2,2,0,5,1,0,0,1
7,NE,HOU,6,1,1,0,7,6,0,0,1
8,OGDC,OGDC,5,5,1,0,2,2,1,0,1
9,SD,HOU,5,4,0,0,0,0,0,0,1
10,UTAH,UTAH,4,3,1,0,3,3,1,0,1
11,CAR,CAR,6,4,0,0,2,1,1,0,1
12,CHI,HOU,3,1,2,0,4,1,0,0,1
14,NOLA,NOLA,3,3,0,0,1,1,0,0,1
15,LA,HOU,4,3,1,0,2,1,0,0,1
16,SEA,HOU,4,1,2,0,3,2,2,0,1
17,SD,SD,3,3,1,0,3,2,6,0,1
18,DAL,HOU,4,2,1,0,4,3,0,0,1
