ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
1,CAR,CAR,8,3,0,0,2,0,1,0,1
2,OGDC,NE,5,3,1,0,5,5,0,0,1
3,NOLA,NE,3,3,2,0,3,3,0,0,1
4,CHI,CHI,3,2,1,0,2,2,1,0,1
6,MIA,NE,3,2,2,0,0,0,1,0,1
7,HOU,HOU,7,6,0,0,6,1,1,0,1
8,SEA,NE,3,3,0,0,3,1,4,0,1
9,LA,LA,5,3,1,0,2,1,0,0,1
10,CHI,NE,3,1,1,0,3,1,3,0,1
12,SD,SD,3,3,1,0,3,1,2,0,1
13,MIA,MIA,1,1,2,0,2,1,1,0,1
14,DAL,NE,4,3,0,0,3,3,1,0,1
15,OGDC,OGDC,4,4,1,0,3,3,2,1,1
16,UTAH,NE,5,4,1,0,3,3,2,0,1
17,NOLA,NOLA,2,2,1,0,4,2,1,0,1
18,CAR,NE,6,5,0,0,1,1,0,0,1
19,OGDC,NE,3,3,4,0,4,3,1,0,1
