ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
1,NOLA,NOLA,0,0,2,0,2,1,2,0,1
2,NE,NE,5,5,0,0,5,3,1,0,1
3,CHI,OGDC,3,1,1,0,3,1,1,0,1
4,SD,OGDC,1,0,2,0,4,2,1,0,1
5,CAR,CAR,6,5,2,0,4,3,2,0,1
6,LA,OGDC,3,2,1,0,4,1,0,0,1
8,HOU,OGDC,2,2,1,0,5,5,1,0,1
9,UTAH,UTAH,4,2,0,0,4,4,1,0,1
10,MIA,OGDC,2,0,1,0,1,1,1,0,1
11,CHI,CHI,1,1,5,0,3,3,0,0,1
13,SEA,SEA,2,1,4,0,3,1,2,0,1
14,CAR,OGDC,7,6,0,0,5,2,0,0,1
15,NE,OGDC,3,3,2,1,4,4,1,0,1
16,DAL,DAL,5,4,1,0,4,4,2,0,1
17,MIA,MIA,2,1,0,0,2,2,1,0,1
18,NOLA,OGDC,4,2,0,1,4,2,0,0,1
