ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
1,SD,SEA,1,1,6,0,1,1,4,0,1
2,MIA,SEA,2,2,5,0,2,1,2,0,1
3,UTAH,UTAH,3,1,2,0,2,0,1,0,1
4,HOU,SEA,6,2,2,0,5,4,3,0,1
5,CHI,CHI,5,3,1,0,4,3,0,0,1
6,DAL,SEA,4,4,2,0,5,2,1,0,1
7,LA,LA,5,4,1,0,1,0,0,0,1
8,NE,NE,3,1,4,0,3,3,0,0,1
10,CAR,SEA,4,3,1,0,2,0,1,0,1
11,NOLA,NOLA,4,4,1,0,4,3,2,0,1
12,DAL,DAL,1,1,0,0,2,2,0,0,1
13,OGDC,SEA,3,1,2,0,2,1,4,0,1
15,UTAH,SEA,10,9,0,0,4,3,1,0,1
16,HOU,HOU,3,2,2,0,4,1,2,0,1
17,LA,SEA,4,3,1,0,2,1,0,0,1
18,SD,SD,5,4,0,0,6,2,3,0,1
19,SD,SEA,4,2,2,0,3,2,3,0,1
