,Attack,Defense,Overall,Standardised,Quantile
HOU,4.675,-4.8,9.475,1.1288892060089504,0.8705277126260127
SEA,3.625,-4.8625,8.4875,1.0110517186327517,0.8440041615226465
NE,2.5694444444444446,-5.486111111111111,8.055555555555555,0.959508176334583,0.8313485986735518
CHI,2.4875,-1.5,3.9875,0.4740707635007061,0.6822752767980034
SD,-2.6805555555555554,-4.680555555555555,2.0,0.2369041749840528,0.5936344344952662
UTAH,-1.6375,-2.55,0.9125,0.10713377749380852,0.5426585745997307
DAL,3.7,3.425,0.275,0.03106147551676877,0.5123897435409891
NOLA,-2.4583333333333335,-1.75,-0.7083333333333334,-0.08627880727134483,0.465622392496575
MIA,-4.9625,-3.25,-1.7125,-0.20610511299988454,0.4183544024603
OGDC,-5.5125,-1.5125,-4.0,-0.47907043185867426,0.3159442619227779
LA,-2.7083333333333335,1.875,-4.583333333333333,-0.548679074190606,0.29161285464122744
CAR,-5.2875,16.725,-22.0125,-2.628485866151111,0.004288295972763885
