code,name,location,lat,lon,elev
CAR,American Legion Memorial Stadium,"Charlotte, NC",35.2182,-80.8283,200
CHI,SeatGeek Stadium,"Bridgeview, IL",41.764722,-87.806111,184
DAL,Choctaw Stadium,"Arlington, TX",32.751389,-97.082778,162
HOU,SaberCats Stadium,"Houston, TX",29.6345,-95.3899,15
LA,Dignity Health Sports Park,"Carson, CA",33.864,-118.261,13
MIA,AutoNation Field,"Fort Lauderdale, FL",26.193056,-80.161111,5
NE,Veterans Memorial Stadium,"Quincy, MA",42.261111,-71.01,0
NOLA,Gold Mine,"Metarie, LA",29.975442,-90.199742,1
OGDC,Maryland Soccerplex,"Germantown, MD",39.15271,-77.310131,126
SD,Snapdragon Stadium,"San Diego, CA",32.784444,-117.122833,17
SEA,Starfire Stadium,"Tukwila, WA",47.93333333,-122.25,9
UTAH,Zions Bank Stadium,"Herriman, UT",40.48333333,-111.9833333,1446
