,Attack,Defense,Overall,Standardised,Quantile
NZL,16.25231435231435,-10.285114885114886,26.537429237429237,1.4596864002761007,0.9278118593791627
FRA,13.700507825507824,-7.862121212121211,21.56262903762904,1.228251940929288,0.890323797053455
IRE,8.281548579625504,-12.186102359179282,20.467650938804788,1.1773120731717508,0.8804645150813286
RSA,7.365005133755134,-12.413508713508712,19.77851384726385,1.1452524800642692,0.873947707733449
SCO,3.680579036348267,-9.815264863341788,13.495843899690053,0.8529741444178232,0.803163178695008
ENG,0.5738339438339436,-5.8003235653235645,6.374157509157509,0.5216636247517971,0.699047722256982
ARG,1.3511655011655006,-2.791054778554778,4.142220279720278,0.41783087464224006,0.6619646122326086
WAL,0.9121160890391653,-2.1805508593970133,3.0926669484361793,0.3690042287417398,0.6439377136049875
FIJ,1.3138278388278386,-1.7750915750915754,3.0889194139194145,0.3688298883481687,0.6438727373925295
AUS,-0.778070078070078,-0.3024947274947267,-0.4755753505753522,0.20300475255708245,0.5804343412228176
SAM,-4.825961538461539,-3.953594322344322,-0.8723672161172171,0.18454545626643282,0.5732072147349065
ITA,-0.2729033786726093,4.3237243525705065,-4.596627731243116,0.011287800849545547,0.5045030853850754
JPN,-4.258653846153847,5.731501831501831,-9.990155677655679,-0.23962644175662987,0.40530993217170813
GEO,-8.816506410256409,2.118910256410256,-10.935416666666665,-0.2836012663017799,0.38835798328586896
POR,-10.725961538461538,5.772863247863248,-16.498824786324786,-0.542418565205655,0.29376509655991223
TGA,-4.98580586080586,12.795695970695972,-17.78150183150183,-0.6020904427775501,0.27355696796249174
URU,-16.032606282606285,9.954989454989454,-25.987595737595736,-0.9838490723165403,0.162594863558208
CHI,-16.772222222222222,23.6125,-40.384722222222216,-1.6536229426824354,0.04910207407468651
NAM,-16.143717393717395,24.73276723276723,-40.876484626484626,-1.6765003973713957,0.04682010922269853
ROM,-14.359775641025642,32.566277472527474,-46.92605311355311,-1.957934536604252,0.025118847354360294
