round_number,year,month,day,team1,team2,venue,knockout
1,2023,2,4,WAL,IRE,RUG,FALSE
1,2023,2,4,ENG,SCO,RUG,FALSE
1,2023,2,5,ITA,FRA,RUG,FALSE
2,2023,2,11,IRE,FRA,RUG,FALSE
2,2023,2,11,SCO,WAL,RUG,FALSE
2,2023,2,12,ENG,ITA,RUG,FALSE
3,2023,2,25,ITA,IRE,RUG,FALSE
3,2023,2,25,WAL,ENG,RUG,FALSE
3,2023,2,26,FRA,SCO,RUG,FALSE
4,2023,3,11,ITA,WAL,RUG,FALSE
4,2023,3,11,ENG,FRA,RUG,FALSE
4,2023,3,12,SCO,IRE,RUG,FALSE
5,2023,3,18,SCO,ITA,RUG,FALSE
5,2023,3,18,FRA,WAL,RUG,FALSE
5,2023,3,18,IRE,ENG,RUG,FALSE
6,2023,2,19,POR,ROM,RUG,FALSE
7,2023,3,5,GEO,ROM,RUG,FALSE
8,2023,3,19,GEO,POR,RUG,FALSE
9,2023,7,8,RSA,AUS,RUG,FALSE
9,2023,7,8,ARG,NZL,RUG,FALSE
10,2023,7,15,NZL,RSA,RUG,FALSE
10,2023,7,15,AUS,ARG,RUG,FALSE
11,2023,7,29,AUS,NZL,RUG,FALSE
11,2023,7,29,RSA,ARG,RUG,FALSE
12,2023,7,22,FIJ,TGA,RUG,FALSE
12,2023,7,22,JPN,SAM,RUG,FALSE
13,2023,7,29,SAM,FIJ,RUG,FALSE
13,2023,7,29,JPN,TGA,RUG,FALSE
14,2023,8,5,SAM,TGA,RUG,FALSE
14,2023,8,5,JPN,FIJ,RUG,FALSE
15,2023,7,29,SCO,ITA,RUG,FALSE
15,2023,7,29,URU,CHI,RUG,FALSE
16,2023,8,5,NZL,AUS,RUG,FALSE
16,2023,8,5,SCO,FRA,RUG,FALSE
16,2023,8,5,WAL,ENG,RUG,FALSE
16,2023,8,5,IRE,ITA,RUG,FALSE
16,2023,8,5,ARG,RSA,RUG,FALSE
16,2023,8,5,URU,NAM,RUG,FALSE
17,2023,8,12,GEO,ROM,RUG,FALSE
17,2023,8,12,ENG,WAL,RUG,FALSE
17,2023,8,12,CHI,NAM,RUG,FALSE
18,2023,8,19,WAL,RSA,RUG,FALSE
18,2023,8,19,IRE,ENG,RUG,FALSE
18,2023,8,19,ITA,ROM,RUG,FALSE
18,2023,8,19,FRA,FIJ,RUG,FALSE
19,2023,8,25,NZL,RSA,RUG,FALSE
19,2023,8,26,ENG,FIJ,RUG,FALSE
19,2023,8,26,ITA,JPN,RUG,FALSE
19,2023,8,26,SCO,GEO,RUG,FALSE
19,2023,8,26,IRE,SAM,RUG,FALSE
19,2023,8,27,FRA,AUS,RUG,FALSE
20,2023,9,8,FRA,NZL,PAR,FALSE
20,2023,9,9,ITA,NAM,SE,FALSE
20,2023,9,9,IRE,ROM,BOR,FALSE
20,2023,9,10,RSA,SCO,MAR,FALSE
20,2023,9,9,AUS,GEO,PAR,FALSE
20,2023,9,10,WAL,FIJ,BOR,FALSE
20,2023,9,9,ENG,ARG,MAR,FALSE
20,2023,9,10,JPN,CHI,TOU,FALSE
21,2023,9,14,FRA,URU,LIL,FALSE
21,2023,9,15,NZL,NAM,TOU,FALSE
21,2023,9,16,IRE,TGA,NAN,FALSE
21,2023,9,17,RSA,ROM,BOR,FALSE
21,2023,9,16,WAL,POR,NIC,FALSE
21,2023,9,17,AUS,FIJ,SE,FALSE
21,2023,9,16,SAM,CHI,BOR,FALSE
21,2023,9,17,ENG,JPN,NIC,FALSE
22,2023,9,20,ITA,URU,NIC,FALSE
22,2023,9,21,FRA,NAM,MAR,FALSE
22,2023,9,23,RSA,IRE,PAR,FALSE
22,2023,9,24,SCO,TGA,NIC,FALSE
22,2023,9,23,GEO,POR,TOU,FALSE
22,2023,9,24,WAL,AUS,LYO,FALSE
22,2023,9,22,ARG,SAM,SE,FALSE
22,2023,9,23,ENG,CHI,LIL,FALSE
23,2023,9,27,URU,NAM,LYO,FALSE
23,2023,9,29,NZL,ITA,LYO,FALSE
23,2023,9,30,SCO,ROM,LIL,FALSE
23,2023,10,1,RSA,TGA,MAR,FALSE
23,2023,9,30,FIJ,GEO,BOR,FALSE
23,2023,10,1,AUS,POR,SE,FALSE
23,2023,9,28,JPN,SAM,TOU,FALSE
23,2023,9,30,ARG,CHI,NAN,FALSE
24,2023,10,5,NZL,URU,LYO,FALSE
24,2023,10,6,FRA,ITA,LYO,FALSE
24,2023,10,7,IRE,SCO,PAR,FALSE
24,2023,10,8,TGA,ROM,LIL,FALSE
24,2023,10,7,WAL,GEO,NAN,FALSE
24,2023,10,8,FIJ,POR,TOU,FALSE
24,2023,10,7,ENG,SAM,LIL,FALSE
24,2023,10,8,JPN,ARG,NAN,FALSE
